BIB_No,BIB_Type,1st_Socket_Location,Socket_Density,Key_Word_Location,Pass_Code_Bin1,Bin_Sort_Index,Empty_Socket,ECID_Index,Split_ECID_method,Wafer_lot_Word1,Wafer_lot_Word2,Wafer_lot_Word3,Include_Check,Check_Type,Special_Words
10205011,TCALYPSO100,7,36,-1,2001A5A5,B2000104,FACE00FF,B20000A2,8,B20001A1,B20002A1,B20000A1,Y,Bin2,
10205011,TCALYPSO100,7,36,-1,,,FACE00FF,000000A2,8,000001A1,000002A1,000000A1,Y,Qcheck,
10208011,TCALYPSO324,7,36,-1,2001A5A5,B2000104,FACE00FF,B20000A2,8,B20001A1,B20002A1,B20000A1,Y,Bin2,
10208011,TCALYPSO324,7,36,-1,,,FACE00FF,000000A2,8,000001A1,000002A1,000000A1,Y,Qcheck,
10209011,TCALYPSO256,7,36,-1,2001A5A5,B2000104,FACE00FF,B20000A2,8,B20001A1,B20002A1,B20000A1,Y,Bin2,
10209011,TCALYPSO256,7,36,-1,,,FACE00FF,000000A2,8,000001A1,000002A1,000000A1,Y,Qcheck,
10195011,KPANTHER257,7,40,-1,2001A5A5,B2000104,FACE00FF,B20000A2,8,B20001A1,B20002A1,B20000A1,Y,Bin2,
10195011,KPANTHER257,7,40,-1,,,FACE00FF,40000020,8,40000014,40000018,4000001C,Y,Qcheck,
10382011,KQUASAR3,7,32,-1,2001A5A5,B2000104,FACE00FF,B20000A2,8,B20001A1,B20002A1,B20000A1,Y,Bin2,
10382011,KQUASAR3,7,32,-1,,,FACE00FF,000000A2,8,000001A1,000002A1,000000A1,Y,Qcheck,
10381011,KRAINIER252,7,50,-1,2001A5A5,B2000104,FACE00FF,B20000A2,8,B20001A1,B20002A1,B20000A1,Y,Bin2,
10381011,KRAINIER252,7,50,-1,,,FACE00FF,000000A2,8,000001A1,000002A1,000000A1,Y,Qcheck,
10746011,TPCU12_EP,8,28,7,1,196,41363595,195,6A,,,,Y,Bin2,
10714011,TPACE6,7,40,-1,5A5A5A5A,B20000B2,FACE00FF,B20000A2,8,B20001A1,B20002A1,B20000A1,Y,Bin2,
10714011,TPACE6,7,40,-1,,,FACE00FF,000000A2,8,000001A1,000002A1,000000A1,Y,Qcheck,
10715011,TFADO208,7,40,-1,5A5A5A5A,B20000B2,FACE00FF,B20000A2,8,B20001A1,B20002A1,B20000A1,Y,Bin2,
10715011,TFADO208,7,40,-1,,,FACE00FF,000000A2,8,000001A1,000002A1,000000A1,Y,Qcheck,
10405011,TBCC64LQFP_EP,8,40,7,0,100,2,102&103&104,6A,,,,Y,Bin2,
10747011,TBCC48LQFP_EP,8,40,7,0,100,2,102&103&104,6A,,,,Y,Bin2,
10406011,TEMGS613,8,32,7,1,C100,0,C104&C105&C106,6A,,,,Y,Bin2,
10406011,TEMGS613,8,32,7,,B700,0,A104&A105&A106,6A,,,,Y,Qcheck,
10712011,KGARFISH_48LD,7,72,-1,,,,,,,,,,Bin2,
10712011,KGARFISH_48LD,7,72,-1,,,FF000000,000000A2,8,000000A1,,,Y,Qcheck,
10711011,KGARFISH_64LD,7,72,-1,,,,,,,,,,Bin2,
10711011,KGARFISH_64LD,7,72,-1,,,FF000000,000000A2,8,000000A1,,,Y,Qcheck,
10705011,KBOLERO_64,7,72,-1,A55AA55A,7C6000A6,FACE00FF,B20000A2,8,,,,Y,Bin2,DR_Bol256
10705011,KBOLERO_64,7,72,-1,A55AA55A,7C6000A6,FACE00FF,00403810,8,00403808,B20000A1,C3F90004,Y,Qcheck,DR_Bol256
10705011,KBOLERO_64,7,72,-1,B1B1B1B1,BCF00000,FACE00FF,B20000A2,8,,,,Y,Bin2,Bol2_DRV_64
10705011,KBOLERO_64,7,72,-1,B1B1B1B1,BCF00000,FACE00FF,00403810,8,,,,Y,Qcheck,Bol2_DRV_64
10240011,KQUICKSILVER,8,78,7,,,FF000000,1,6,0,2,,N,Qcheck,
10750011,TCARCA64_LIN,8,72,7,00003003,00000002,FF000000,00000001,8,00000000,,,Y,Bin2,
10750011,TCARCA64_LIN,8,72,7,,,FF000000,00000001,8,00000000,,,N,Qcheck,
